Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate
fffe32003000360033003200,30-09-2008,Female,Service,No,2,3,3.8,0.16
fffe3700360033003500,30-11-2008,Male,Service,Yes,1,2,5,0.36
fffe31003300320037003900,10-03-2008,Female,Product,Yes,2,,5.8,0.49
fffe32003400380032003900,03-11-2008,Male,Service,Yes,1,1,2.6,0.2
fffe31003900340031003600,24-07-2008,Female,Service,No,3,7,6.9,0.52
fffe3300350037003500,26-11-2008,Male,Product,Yes,2,4,3.6,0.29
fffe33003300340039003100,02-01-2008,Female,Service,No,3,6,7.9,0.62
fffe32003600320037003400,31-10-2008,Female,Service,Yes,2,4,4.4,0.33
fffe32003200300034003700,27-12-2008,Female,Service,No,3,6,,0.56
fffe31003600320030003200,09-03-2008,Female,Product,No,3,6,,0.67
fffe33003100330032003700,16-03-2008,Male,Product,Yes,2,3,5.3,0.5
fffe3400310035003800,12-05-2008,Male,Service,Yes,0,1,1.8,0.12
fffe32003100300030003700,20-01-2008,Male,Service,Yes,2,5,,0.4
fffe31003800330032003500,23-02-2008,Female,Product,No,1,3,,0.33
fffe33003100330036003300,14-05-2008,Male,Product,Yes,1,3,5.8,0.51
fffe31003700350033003100,03-02-2008,Female,Service,Yes,3,5,4.7,0.32
fffe33003200360037003000,17-03-2008,Male,Service,Yes,1,2,5.9,0.39
fffe31003500350030003400,28-03-2008,Male,Service,No,3,6,6.7,0.59
fffe31003000380035003800,29-05-2008,Female,Product,Yes,2,4,4,0.22
fffe3300350037003200,27-06-2008,Female,Service,No,3,5,,0.68
fffe31003300360039003000,31-08-2008,Male,Product,No,2,4,7.6,0.57
fffe32003700370038003300,15-01-2008,Male,Service,Yes,1,3,6.3,0.47
fffe31003800390035003300,04-05-2008,Male,Service,Yes,1,3,6.7,0.46
fffe3700370035003600,17-11-2008,Female,Product,Yes,3,,7.7,0.61
fffe3700300033003500,14-09-2008,Female,Service,No,3,8,,0.91
fffe3700370038003000,09-10-2008,Female,Service,Yes,3,,5.8,0.4
fffe3200340036003400,11-10-2008,Male,Service,No,2,4,6.6,0.44
fffe3600330034003600,18-09-2008,Female,Service,No,2,4,7.4,0.6
fffe31003600310031003600,16-09-2008,Female,Service,No,2,5,6.7,0.46
fffe3400310034003500,26-11-2008,Female,Service,Yes,2,4,,0.45
fffe32003300340037003400,12-05-2008,Female,Product,Yes,1,2,3.6,0.2
fffe3500380031003000,16-12-2008,Female,Service,Yes,1,2,3.9,0.2
fffe32003400340039003400,11-10-2008,Female,Service,No,0,1,3,0.19
fffe31003500310034003800,10-03-2008,Male,Service,No,1,3,4.7,0.31
fffe32003700310030003800,03-05-2008,Male,Product,No,4,8,8.7,0.81
fffe32003800300036003300,04-08-2008,Male,Service,Yes,3,5,4.4,0.39
fffe390036003000,31-07-2008,Female,Service,Yes,3,6,5.8,0.42
fffe32003700390039003300,17-06-2008,Female,Product,Yes,0,2,3.9,0.19
fffe32003500390036003500,28-04-2008,Female,Service,Yes,3,7,6.6,0.56
fffe33003400390030003300,30-10-2008,Female,Service,No,4,7,7.3,0.53
fffe3200350030003300,27-02-2008,Female,Service,Yes,3,5,,0.5
fffe3800360036003400,22-06-2008,Female,Product,Yes,1,3,5.4,0.33
fffe33003200380030003900,18-02-2008,Male,Service,No,2,5,5,0.45
fffe31003800370038003900,24-06-2008,Female,Service,Yes,2,3,6,0.36
fffe31003700330031003000,08-12-2008,Female,Service,Yes,3,6,7.5,0.59
fffe31003500330034003700,05-08-2008,Male,Service,Yes,2,3,,
fffe32003300380035003700,11-04-2008,Male,Service,No,4,10,10,0.94
fffe3500320032003000,26-03-2008,Female,Product,Yes,3,6,,
fffe3900300031003500,09-08-2008,Female,Product,No,3,,7.7,0.61
fffe32003700300034003600,28-08-2008,Female,Product,Yes,1,3,6,0.37
fffe31003500390030003200,21-03-2008,Male,Service,No,2,6,7.4,0.65
fffe31003500360032003800,22-07-2008,Female,Service,Yes,2,5,6.4,0.49
fffe31003300360038003700,20-05-2008,Female,Service,No,1,2,5.1,
fffe32003100320039003700,23-01-2008,Male,Service,Yes,1,3,5.6,0.38
fffe31003200340033003100,09-10-2008,Male,Product,No,2,5,7.4,0.62
fffe33003100340034003900,10-09-2008,Female,Product,Yes,3,5,6.1,0.39
fffe32003100340032003800,26-05-2008,Female,Product,Yes,2,4,3.1,0.15
fffe380030003100,22-12-2008,Male,Service,No,2,5,8,0.61
fffe3900310031003800,08-04-2008,Female,Product,No,1,2,4,0.26
fffe3200390030003200,22-12-2008,Female,Service,No,2,2,3.6,0.28
fffe3800370031003300,25-02-2008,Male,Product,Yes,2,5,8.7,0.71
fffe3300320030003200,24-04-2008,Male,Product,No,3,,8,0.68
fffe33003200310034003500,08-01-2008,Female,Service,No,3,5,6.8,0.57
fffe32003200310030003200,20-11-2008,Female,Service,Yes,2,3,4.9,0.39
fffe3300300031003100,11-09-2008,Female,Product,No,3,6,7.9,0.61
fffe33003300310030003900,11-06-2008,Male,Product,No,3,6,7.6,0.62
fffe31003200340034003500,28-02-2008,Female,Service,No,5,9,9.2,0.8
fffe32003400320036003200,03-05-2008,Male,Service,Yes,4,6,6.5,0.63
fffe3600330031003200,20-08-2008,Female,Service,No,3,5,6.8,0.6
fffe31003300330034003700,18-10-2008,Female,Product,No,4,8,8.7,0.79
fffe3600330032003400,14-08-2008,Male,Service,Yes,2,5,6.2,0.39
fffe3500300037003900,08-01-2008,Female,Service,No,3,5,5.8,0.36
fffe33003400360037003500,17-07-2008,Female,Product,No,2,4,6.6,0.5
fffe32003500310039003700,11-09-2008,Male,Product,No,4,7,8.2,0.72
fffe32003600370032003500,05-07-2008,Female,Service,Yes,2,3,4.9,0.34
fffe3200350037003200,04-02-2008,Female,Service,No,1,2,4.1,0.27
fffe3800390036003200,01-08-2008,Male,Service,No,3,7,7.4,0.66
fffe3400390032003600,01-05-2008,Female,Product,Yes,0,1,,0.04
fffe33003300360032003700,21-05-2008,Male,Service,Yes,1,2,4.4,0.27
fffe32003600360039003700,26-11-2008,Female,Service,No,2,6,6.9,0.67
fffe3200360031003700,21-10-2008,Female,Product,Yes,1,2,5.3,0.38
fffe33003300350036003100,19-03-2008,Female,Service,Yes,2,2,4.3,0.28
